"SORTCODE","BANKNAME","BRANCHNAME"
"010101","BANK OF GHANA","BANK OF GHANA ACCRA BRANCH"
"010303","BANK OF GHANA","BANK OF GHANA -AGONA SWEDRU BRANCH"
"010401","BANK OF GHANA","BANK OF GHANA -TAKORADI BRANCH"
"010402","BANK OF GHANA","BANK OF GHANA -SEFWI BOAKO BRANCH"
"010601","BANK OF GHANA","BANK OF GHANA -KUMASI BRANCH"
"010701","BANK OF GHANA","BANK OF GHANA -SUNYANI BRANCH"
"010801","BANK OF GHANA","BANK OF GHANA -TAMALE BRANCH"
"011101","BANK OF GHANA","BANK OF GHANA - HOHOE BRANCH"
"020101","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-HIGH STREET BRANCH"
"020102","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD- INDEPENDENCE AVENUE BRANCH"
"020104","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-LIBERIA ROAD BRANCH"
"020105","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-OPEIBEA HOUSE BRANCH"
"020106","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-TEMA BRANCH"
"020108","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-LEGON BRANCH"
"020112","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-OSU BRANCH"
"020118","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-SPINTEX BRANCH"
"020121","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-DANSOMAN BRANCH"
"020126","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-ABEKA BRANCH"
"020127","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH)-ACHIMOTA BRANCH"
"020129","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD- NIA BRANCH"
"020132","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD- TEMA HABOUR BRANCH"
"020133","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD- WESTHILLS BRANCH"
"020436","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-LIBERIA ROAD TAKORADI BRANCH"
"020611","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD- KNUST BRANCH"
"020613","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-AHODWO BRANCH"
"020615","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-HARPER ROAD BRANCH"
"020617","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-OBUASI BRANCH"
"020823","STANDARD CHARTERED BANK","STANDARD CHARTERED BANK(GH) LTD-TAMALE BRANCH"
"030101","ABSA (GH) LTD","ABSA (GH) LTD-KASOA BRANCH"
"030104","ABSA (GH) LTD","ABSA(GH) LTD-A AND C MALL BRANCH"
"030105","ABSA (GH) LTD","ABSA (GH) LTD-ACCRA MALL BRANCH"
"030106","ABSA (GH) LTD","ABSA (GH) LTD-ABEKA LAPAZ BRANCH"
"030107","ABSA (GH) LTD","ABSA (GH) LTD-DANSOMAN BRANCH"
"030108","ABSA (GH) LTD","ABSA(GH) LTD-GNPC BRANCH"
"030109","ABSA (GH) LTD","ABSA (GH) LTD-NIMA BRANCH"
"030110","ABSA (GH) LTD","ABSA (GH) LTD-LEGON BRANCH"
"030111","ABSA (GH) LTD","ABSA(GH) LTD-ACHIMOTA BRANCH"
"030112","ABSA (GH) LTD","ABSA (GH) LTD-OSU BRANCH"
"030114","ABSA (GH) LTD","ABSA (GH) LTD-RING ROAD CENTRAL BRANCH"
"030116","ABSA (GH) LTD","ABSA(GH) LTD -BCM BRANCH"
"030117","ABSA (GH) LTD","ABSA (GH) LTD-MOTORWAY EXT BRANCH"
"030121","ABSA (GH) LTD","ABSA(GH) LTD-SPINTEX MAIN BRANCH"
"030122","ABSA (GH) LTD","ABSA (GH) LTD-KNUTSFORD AVENUE BRANCH"
"030125","ABSA (GH) LTD","ABSA (GH) LTD-LEGON MAIN BRANCH"
"030130","ABSA (GH) LTD","ABSA (GH) LTD-TEMA FISHING HARBOUR BRANCH"
"030135","ABSA (GH) LTD","ABSA (GH) LTD-MAKOLA SQUARE BRANCH"
"030136","ABSA (GH) LTD","ABSA (GH) LTD-AIRPORT CITY BRANCH"
"030141","ABSA (GH) LTD","ABSA (GH) LTD-CIRCLE BRANCH"
"030144","ABSA (GH) LTD","ABSA (GH)LTD-ACCRA CORPORATE SERVICE CENTER BRANCH"
"030145","ABSA (GH) LTD","ABSA(GH) LTD-SPINTEX PRESTIGE BRANCH"
"030148","ABSA (GH) LTD","ABSA (GH) LTD-HIGH STREET BRANCH"
"030149","ABSA (GH) LTD","ABSA(GH) LTD-DIRECT SALES BRANCH"
"030154","ABSA (GH) LTD","ABSA (GH) LTD-AVENUE CENTRAL BRANCH"
"030155","ABSA (GH) LTD","ABSA(GH) LTD - UNDP BRANCH"
"030160","ABSA (GH) LTD","ABSA (GH) LTD-TEMA MAIN BRANCH"
"030161","ABSA (GH) LTD","ABSA(GH) LTD - SME CENTRE BRANCH"
"030162","ABSA (GH) LTD","ABSA(GH) LTD - AGBOBLOSHIE BRANCH"
"030163","ABSA (GH) LTD","ABSA(GH) LTD - MADINA BRANCH"
"030164","ABSA (GH) LTD","ABSA (GH) LTD-HEAD OFFICE BRANCH"
"030168","ABSA (GH) LTD","ABSA(GH) LTD - TESHIE NUNGUA BRANCH"
